,Retorno_alvo,Sinal
2015-01-02,0.107259728091429,1
2015-01-05,0.131047965194988,1
2015-01-06,0.0914411223306832,1
2015-01-07,0.08397444550973869,1
2015-01-08,0.00362780601678159,1
2015-01-09,0.024242140045195103,1
2015-01-16,0.0029568579217429405,-1
2015-01-19,0.0259035921079882,-1
2015-01-20,0.0449706849370903,-1
2015-01-21,0.0351081568389098,-1
2015-01-22,0.0121528079349762,-1
2015-01-23,0.030534111534998,-1
2015-01-30,0.0197850370114285,1
2015-02-02,0.0314462858740083,1
2015-02-03,0.03076946559247,1
2015-02-04,0.0380624884870047,1
2015-02-05,0.0259300557143942,1
2015-02-06,0.017867187124413198,1
2015-02-18,0.00604393279376447,-1
2015-02-19,-0.00222669038461909,-1
2015-02-20,0.0193196290872364,-1
2015-03-02,0.0022098978942097797,1
2015-03-03,-0.0211612976875122,1
2015-03-04,-0.00928459081840749,1
2015-03-05,-0.0196079448067383,1
2015-03-06,-0.0032910454737010704,1
2015-03-09,0.0104167889930045,1
2015-03-16,0.0233334016476081,-1
2015-03-17,-0.00495342500778218,-1
2015-03-18,-0.008139005350049971,-1
2015-03-19,0.00810788645176719,-1
2015-03-20,-0.0101767451382643,-1
2015-03-23,0.0058386593935762,-1
2015-03-30,0.0364612474942405,1
2015-03-31,0.0562768906939655,1
2015-04-01,0.0242742361030304,1
2015-04-02,0.014323762420803202,1
2015-04-06,-0.005197734466141471,1
2015-04-07,-0.017489739392066602,1
2015-04-14,-0.00993722924916829,-1
2015-04-15,-0.0177638123470545,-1
2015-04-16,-0.0104712319150245,-1
2015-04-17,-0.011536604623465401,-1
2015-04-20,0.00317618446879253,-1
2015-04-22,0.020042368942697602,-1
2015-04-29,0.046684563031341095,1
2015-04-30,0.0258574572245516,1
2015-05-04,0.00827320312350976,1
2015-05-05,-0.00868680821167556,1
2015-05-06,-0.00856847244547876,1
2015-05-07,-0.0117890768773973,1
2015-05-14,-0.0257733527035968,-1
2015-05-15,-0.057956290745606195,-1
2015-05-18,-0.040456223129157996,-1
2015-05-19,-0.0395011243677248,-1
2015-05-20,0.0027055541131428803,-1
2015-05-21,-0.0127387726384799,-1
2015-05-28,0.00812548423855031,1
2015-05-29,0.0178847940141098,1
2015-06-01,0.009189029209658141,1
2015-06-02,0.01024251275425,1
2015-06-03,-0.0065148995154338295,1
2015-06-05,0.00160430610011009,1
2015-06-12,0.00907172838550219,-1
2015-06-15,0.032787009298900195,-1
2015-06-16,0.0101441411120502,-1
2015-06-17,0.0257232187472922,-1
2015-06-18,0.0155330231267823,-1
2015-06-19,0.00635909734851436,-1
2015-06-29,0.0073839704591240896,1
2015-06-30,0.0231701228013392,1
2015-07-01,0.021432184254381398,1
2015-07-02,0.0320378152892948,1
2015-07-03,0.031331711945016896,1
2015-07-13,-0.000511719143723388,-1
2015-07-14,-0.023409656490078402,-1
2015-07-15,-0.0399999808228011,-1
2015-07-16,-0.053218071095003996,-1
2015-07-17,-0.0461927998029829,-1
2015-07-27,0.06798687074048469,1
2015-07-28,0.0580094542529492,1
2015-07-29,0.0413756312044415,1
2015-07-30,0.0344093936510574,1
2015-07-31,0.013353809226833,1
2015-08-03,-0.0357143633552001,1
2015-08-10,-0.0726712054280997,-1
2015-08-11,-0.063355217905284,-1
2015-08-12,-0.0444444694940253,-1
2015-08-13,-0.0310827485883471,-1
2015-08-14,-0.0134696794625826,-1
2015-08-17,0.014523936299411799,-1
2015-08-18,0.0203425207694188,-1
2015-08-25,0.07209170456187959,1
2015-08-26,0.052492083861117804,1
2015-08-27,0.028856248393984,1
2015-08-28,0.00613690428953961,1
2015-08-31,0.011931221425445,1
2015-09-01,0.015787141058573498,1
2015-09-02,-0.00703359566753103,1
2015-09-09,0.013534593483758699,-1
2015-09-10,0.00834608916190893,-1
2015-09-11,0.0286322248947242,-1
2015-09-14,0.0164370087689372,-1
2015-09-15,0.00314790035422297,-1
2015-09-16,-0.00771216267553854,-1
2015-09-17,-0.010774605363227401,-1
2015-09-24,0.0643304681417001,1
2015-09-25,0.0305697866160466,1
2015-09-28,0.0373443134060301,1
2015-09-29,0.0165286007183738,1
2015-09-30,0.019052636659344,1
2015-10-01,-0.0507614382679781,1
2015-10-08,-0.005081254777906889,-1
2015-10-09,-0.00454776353552544,-1
2015-10-13,0.0513368486182866,-1
2015-10-14,0.0744566717829349,-1
2015-10-15,0.0298274613330083,-1
2015-10-16,0.026956922967885898,-1
2015-10-23,-0.008598732471917449,1
2015-10-26,-0.011178772447769101,1
2015-10-27,-0.042403120373139605,1
2015-10-28,-0.0478615163241515,1
2015-10-29,-0.018421285912615,1
2015-10-30,-0.0015714460361395698,1
2015-11-09,0.025133883340115803,-1
2015-11-10,0.0375336184346633,-1
2015-11-11,0.0,-1
2015-11-12,0.00264678518628525,-1
2015-11-13,-0.026177893600041,-1
2015-11-23,-0.0325289404338597,1
2015-11-24,-0.0100318905334572,1
2015-11-25,-0.00322575124868962,1
2015-11-26,-0.011164054529341001,1
2015-11-27,-0.023155126947359102,1
2015-12-07,-0.024731180554989903,-1
2015-12-08,0.000550945529752767,-1
2015-12-09,-0.036796385469575504,-1
2015-12-10,-0.0163933595013843,-1
2015-12-11,-0.009800847518612649,-1
2015-12-14,0.0167834828935025,-1
2015-12-21,-0.020728333063298,1
2015-12-22,-0.035654625236908405,1
2015-12-23,-0.07417572079552259,1
2015-12-28,-0.058985785541187497,1
2015-12-29,-0.076923126151792,1
2016-01-05,-0.0360410605528144,-1
2016-01-06,-0.0415945397859792,-1
2016-01-07,-0.0362018518784777,-1
2016-01-08,-0.0187464232684422,-1
2016-01-11,-0.015476149703286599,-1
2016-01-12,-0.0388691539665547,-1
2016-01-13,0.00118842008781517,-1
2016-01-20,0.120259174794047,1
2016-01-21,0.109444726948969,1
2016-01-22,0.0817198475274921,1
2016-01-26,0.0979102879986133,1
2016-01-27,0.0250990251316408,1
2016-02-03,-0.0071821403496507,-1
2016-02-04,-0.00544690212245347,-1
2016-02-05,0.0143330536958219,-1
2016-02-10,0.021181537216524902,-1
2016-02-11,0.041456587497409506,-1
2016-02-18,-0.0413043847225864,1
2016-02-19,-0.00382094226128193,1
2016-02-22,-0.024206686468655102,1
2016-02-23,0.00985770197378266,1
2016-02-24,0.0511554186055552,1
2016-02-25,0.0824394159943238,1
2016-02-26,0.08054451294167221,1
2016-03-04,-0.0423862230597027,-1
2016-03-07,-0.045905028830244804,-1
2016-03-08,-0.0167977086808431,-1
2016-03-09,-0.0123321667323231,-1
2016-03-10,0.00536783848952527,-1
2016-03-11,0.0285402409067983,-1
2016-03-21,0.00373748680180475,1
2016-03-22,0.004802449946911261,1
2016-03-23,-0.0257892874368483,1
2016-03-24,-0.015263283715034598,1
2016-04-04,-0.011345286452829999,-1
2016-04-05,0.0016035278478121501,-1
2016-04-06,0.0193237839697693,-1
2016-04-07,0.022102615084441203,-1
2016-04-08,0.0296175624425028,-1
2016-04-18,0.026371134592924502,1
2016-04-19,0.0141215563662365,1
2016-04-20,0.0161459270841693,1
2016-04-22,0.022442617744390398,1
2016-04-25,0.0245688912428739,1
2016-05-02,-0.0333164135938427,-1
2016-05-03,-0.0209290444367572,-1
2016-05-04,-0.0428569919548241,-1
2016-05-05,-0.0193310650196735,-1
2016-05-06,-0.0148618638443087,-1
2016-05-09,-0.025939828561824297,-1
2016-05-10,-0.025667945631890697,-1
